hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,meta-llama/Llama-3.1-8B,up_proj,14,0,148971
RTX3090,meta-llama/Llama-3.1-8B,down_proj,14,0,145781
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,14,0,22760
RTX3090,meta-llama/Llama-3.1-8B,lm_head,14,0,1230240
RTX3090,meta-llama/Llama-3.1-8B,embedding,15,0,10149
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,15,0,22561
RTX3090,meta-llama/Llama-3.1-8B,q_proj,15,0,47360
RTX3090,meta-llama/Llama-3.1-8B,k_proj,15,0,21867
RTX3090,meta-llama/Llama-3.1-8B,v_proj,15,0,21690
RTX3090,meta-llama/Llama-3.1-8B,rope,15,0,30282
RTX3090,meta-llama/Llama-3.1-8B,attn,15,0,6621
RTX3090,meta-llama/Llama-3.1-8B,o_proj,15,0,48141
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,15,0,23573
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,15,0,148426
RTX3090,meta-llama/Llama-3.1-8B,act_fn,15,0,2923
RTX3090,meta-llama/Llama-3.1-8B,up_proj,15,0,148836
RTX3090,meta-llama/Llama-3.1-8B,down_proj,15,0,145696
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,15,0,22945
RTX3090,meta-llama/Llama-3.1-8B,lm_head,15,0,1232716
RTX3090,meta-llama/Llama-3.1-8B,embedding,16,0,10719
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,16,0,25534
RTX3090,meta-llama/Llama-3.1-8B,q_proj,16,0,47192
RTX3090,meta-llama/Llama-3.1-8B,k_proj,16,0,21863
RTX3090,meta-llama/Llama-3.1-8B,v_proj,16,0,21816
RTX3090,meta-llama/Llama-3.1-8B,rope,16,0,30932
RTX3090,meta-llama/Llama-3.1-8B,attn,16,0,6610
RTX3090,meta-llama/Llama-3.1-8B,o_proj,16,0,47871
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,16,0,26053
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,16,0,148556
RTX3090,meta-llama/Llama-3.1-8B,act_fn,16,0,2960
RTX3090,meta-llama/Llama-3.1-8B,up_proj,16,0,149028
RTX3090,meta-llama/Llama-3.1-8B,down_proj,16,0,145360
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,16,0,25430
RTX3090,meta-llama/Llama-3.1-8B,lm_head,16,0,1232869
RTX3090,meta-llama/Llama-3.1-8B,embedding,17,0,3133
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,17,0,25062
RTX3090,meta-llama/Llama-3.1-8B,q_proj,17,0,46321
RTX3090,meta-llama/Llama-3.1-8B,k_proj,17,0,16271
RTX3090,meta-llama/Llama-3.1-8B,v_proj,17,0,15553
RTX3090,meta-llama/Llama-3.1-8B,rope,17,0,29218
RTX3090,meta-llama/Llama-3.1-8B,attn,17,0,6434
RTX3090,meta-llama/Llama-3.1-8B,o_proj,17,0,47293
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,17,0,25695
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,17,0,146370
RTX3090,meta-llama/Llama-3.1-8B,act_fn,17,0,2987
RTX3090,meta-llama/Llama-3.1-8B,up_proj,17,0,146712
RTX3090,meta-llama/Llama-3.1-8B,down_proj,17,0,142512
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,17,0,25438
RTX3090,meta-llama/Llama-3.1-8B,lm_head,17,0,1232774
RTX3090,meta-llama/Llama-3.1-8B,embedding,18,0,3330
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,18,0,25865
RTX3090,meta-llama/Llama-3.1-8B,q_proj,18,0,47048
RTX3090,meta-llama/Llama-3.1-8B,k_proj,18,0,16948
RTX3090,meta-llama/Llama-3.1-8B,v_proj,18,0,16158
RTX3090,meta-llama/Llama-3.1-8B,rope,18,0,30690
RTX3090,meta-llama/Llama-3.1-8B,attn,18,0,6727
RTX3090,meta-llama/Llama-3.1-8B,o_proj,18,0,47326
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,18,0,26710
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,18,0,148664
RTX3090,meta-llama/Llama-3.1-8B,act_fn,18,0,3085
RTX3090,meta-llama/Llama-3.1-8B,up_proj,18,0,148951
RTX3090,meta-llama/Llama-3.1-8B,down_proj,18,0,146154
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,18,0,26410
RTX3090,meta-llama/Llama-3.1-8B,lm_head,18,0,1237969
RTX3090,meta-llama/Llama-3.1-8B,embedding,19,0,3186
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,19,0,25034
RTX3090,meta-llama/Llama-3.1-8B,q_proj,19,0,47092
RTX3090,meta-llama/Llama-3.1-8B,k_proj,19,0,16438
RTX3090,meta-llama/Llama-3.1-8B,v_proj,19,0,15653
RTX3090,meta-llama/Llama-3.1-8B,rope,19,0,29497
RTX3090,meta-llama/Llama-3.1-8B,attn,19,0,6506
RTX3090,meta-llama/Llama-3.1-8B,o_proj,19,0,47094
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,19,0,25911
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,19,0,147062
RTX3090,meta-llama/Llama-3.1-8B,act_fn,19,0,3048
RTX3090,meta-llama/Llama-3.1-8B,up_proj,19,0,146994
RTX3090,meta-llama/Llama-3.1-8B,down_proj,19,0,142807
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,19,0,25623
RTX3090,meta-llama/Llama-3.1-8B,lm_head,19,0,1235458
RTX3090,meta-llama/Llama-3.1-8B,embedding,20,0,3174
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,20,0,24354
RTX3090,meta-llama/Llama-3.1-8B,q_proj,20,0,47055
RTX3090,meta-llama/Llama-3.1-8B,k_proj,20,0,16180
RTX3090,meta-llama/Llama-3.1-8B,v_proj,20,0,15534
RTX3090,meta-llama/Llama-3.1-8B,rope,20,0,29144
RTX3090,meta-llama/Llama-3.1-8B,attn,20,0,6255
RTX3090,meta-llama/Llama-3.1-8B,o_proj,20,0,46909
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,20,0,25221
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,20,0,146071
RTX3090,meta-llama/Llama-3.1-8B,act_fn,20,0,2989
RTX3090,meta-llama/Llama-3.1-8B,up_proj,20,0,146530
RTX3090,meta-llama/Llama-3.1-8B,down_proj,20,0,142965
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,20,0,24991
RTX3090,meta-llama/Llama-3.1-8B,lm_head,20,0,1232831
RTX3090,meta-llama/Llama-3.1-8B,embedding,21,0,3808
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,21,0,25941
RTX3090,meta-llama/Llama-3.1-8B,q_proj,21,0,47545
RTX3090,meta-llama/Llama-3.1-8B,k_proj,21,0,16983
RTX3090,meta-llama/Llama-3.1-8B,v_proj,21,0,16112
RTX3090,meta-llama/Llama-3.1-8B,rope,21,0,30611
RTX3090,meta-llama/Llama-3.1-8B,attn,21,0,6782
RTX3090,meta-llama/Llama-3.1-8B,o_proj,21,0,47447
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,21,0,26826
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,21,0,149025
RTX3090,meta-llama/Llama-3.1-8B,act_fn,21,0,3220
RTX3090,meta-llama/Llama-3.1-8B,up_proj,21,0,149060
RTX3090,meta-llama/Llama-3.1-8B,down_proj,21,0,146343
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,21,0,26618
RTX3090,meta-llama/Llama-3.1-8B,lm_head,21,0,1240557
RTX3090,meta-llama/Llama-3.1-8B,embedding,22,0,3778
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,22,0,26057
RTX3090,meta-llama/Llama-3.1-8B,q_proj,22,0,47082
RTX3090,meta-llama/Llama-3.1-8B,k_proj,22,0,17052
RTX3090,meta-llama/Llama-3.1-8B,v_proj,22,0,16229
RTX3090,meta-llama/Llama-3.1-8B,rope,22,0,30952
RTX3090,meta-llama/Llama-3.1-8B,attn,22,0,6739
RTX3090,meta-llama/Llama-3.1-8B,o_proj,22,0,47997
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,22,0,26871
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,22,0,149054
RTX3090,meta-llama/Llama-3.1-8B,act_fn,22,0,3169
RTX3090,meta-llama/Llama-3.1-8B,up_proj,22,0,148955
RTX3090,meta-llama/Llama-3.1-8B,down_proj,22,0,146769
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,22,0,26630
RTX3090,meta-llama/Llama-3.1-8B,lm_head,22,0,1239909
RTX3090,meta-llama/Llama-3.1-8B,embedding,23,0,3853
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,23,0,26067
RTX3090,meta-llama/Llama-3.1-8B,q_proj,23,0,48091
RTX3090,meta-llama/Llama-3.1-8B,k_proj,23,0,16715
RTX3090,meta-llama/Llama-3.1-8B,v_proj,23,0,16148
RTX3090,meta-llama/Llama-3.1-8B,rope,23,0,30812
RTX3090,meta-llama/Llama-3.1-8B,attn,23,0,6802
